user_name,user_location,user_followers,user_friends,user_verified,date,text,hashtags,source,language,is_retweet
Ray Heijder,Vernederland,811,802,False,2021-04-30 11:32:01,"Heeft Gert-Jan Segers gisteren tijdens het #toeslagendebat nou echt een mooie motie ingediend die - na te zijn aangenomen - recht zal doen na veel #ongekend_onrecht? Of worden we er als volk weer ingenaaid en binnenkort wederom beroofd?
#toeslagenaffaire.
https://t.co/9ya7pkXjDp",['toeslagendebat'],Twitter Web App,nl,False
BorisDijkhoff,Nederland,135,547,False,2021-04-30 11:32:01,@MStellinga De grootste politieke crimineel van deze eeuw word getolereerd door mainstream partijen en steken een dikke vinger op naar slachtoffers #toeslagenaffaire,,Twitter for iPhone,nl,False
Marcel ☁,Schubbekutterveen,3431,3310,False,2021-04-30 11:31:27,Ik vraag mij af of ik deze onnozelheid van het linkse webblog De Corrie nog langer kan verdragen. Bregman en Frederiks vertellen aantoonbare onzin over #toeslagenaffaire niet gehinderd door dossierkennis. Vooral Bregman klets maar wat. https://t.co/NzNAXIthuP https://t.co/cwSn5DTaNE,,Twitter for iPhone,nl,False
Miriam,,508,3003,False,2021-04-30 11:27:30,@sonnyspek Goed zo ! Je kan er wel in blijven hangen! En even geen #toeslagenaffaire meer ! Nu aan het werk! Ouders hebben genoeg aandacht gehad! #Rutte4 #notulendebat #motievanwantrouwen,['toeslagenaffaire'],Twitter for Android,nl,False
MaartenVW,Haarlem,56,94,False,2021-04-30 11:19:39,"Op @NPORadio1 is Judas @gertjansegers te horen.

Vooral door hem blijven 10000'en gezinnen ontredderd achter in #toeslagenaffaire.

Onbetrouwbaar tot op het bot. De grootste supporter van #tussenbeleid.
@christenunie onwaardig. De duivel in eigen persoon.

Walgelijk mens!",,Оwly,nl,False
AvA,,169,161,False,2021-04-30 11:18:56,@Leolucassen En het resultaat van buitenlanders die altijd maximaal willen profiteren en de zaak oplichten. #fraudeurs #toeslagenaffaire,"['fraudeurs', 'toeslagenaffaire']",Twitter for iPhone,nl,False
Arjan van den Berg,Zevenaar,3528,3718,False,2021-04-30 11:18:06,#Rutte4 de familie list &amp; bedrog gaat straks weer vrolijk verder met elkaar! Niet te geloven! #notulendebat #toeslagenaffaire #bananenrepubliek #kabinetsformatie https://t.co/wNMaPBAAib,"['Rutte4', 'notulendebat']",Twitter for iPhone,nl,False
Frans 🦔,here.,1246,817,False,2021-04-30 11:13:05,Heeft er iemand nog vertrouwen in een “nieuw beleid”?? Eerder in een nieuw #ruttegate  #Rutte4 echt walgelijk na die mishandeling van de #toeslagenaffaire die al jaren duurt. En teflon Rutte maar lachen. 🤮🤮 https://t.co/OLV0oCmHxb,"['ruttegate', 'Rutte4']",Twitter for iPad,nl,False
Heba Offermans Shaarawy,"Purmerend, Nederland",126,681,False,2021-04-30 11:09:17,"Hulde aan #Ouwehand #Marijnissen #Siomns #CarolinevanderPlas. 
#Ploumen Shame on you.
#Kaag Haar ware gezicht is al lang onthuld.#notulendebat #motievanwantrouwen #Rutte4 #toeslagenaffaire #democratieisdood #geenvertrouwenindepolitiek","['Ouwehand', 'Marijnissen', 'Siomns', 'CarolinevanderPlas', 'Ploumen', 'Kaag']",Twitter Web App,nl,False
Dick van Os,Zwolle,129,239,False,2021-04-30 11:07:14,"@IkNet @volkskrant Nou, dat hebben we de afgelopen weken gezien. #toeslagenaffaire #ruttedoctrine","['toeslagenaffaire', 'ruttedoctrine']",Twitter for Android,nl,False
