"ID";"EducationSectors";"Periods";"OperatingIncome_1";"GrantsFromTheState_2";"OtherGovernmentalGrants_3";"TuitionAndExamFees_4";"IncomeFromContractsWithThirdParties_5";"OtherIncome_6";"OperatingCosts_7";"PersonnelCosts_8";"Depreciation_9";"HousingCosts_10";"TotalOtherCosts_11";"AdministrativeCosts_12";"InventoryMaterialAndTeachingAid_13";"Other_14";"OperatingResult1_15";"NetFinancialCosts2_16";"SpecialEntries3_17";"Result123_18";"TotalAssets_19";"TotalFixedAssets_20";"NonFinancialIntangibleFixedAssets_21";"TotalNonFinancialTangibleFixedAs_22";"BuildingsAndLand_23";"InventoryAndEquipment_24";"OtherNonFinancialTangibleFixedAs_25";"FinancialFixedAssets_26";"TotalCurrentAssets_27";"Inventory_28";"Receivables_29";"ShortTermSecurities_30";"LiquidAssets_31";"TotalLiabilitiesAndEquity_32";"Equity_33";"Provisions_34";"LongTermDebt_35";"ShortTermDebt_36";"TotalInvestmentsGross_37";"InvestmentsGrossBuildingsAndLand_38";"InvestmentsGrossInventoryAndEq_39";"SolvencyRatio_40";"CurrentRatio_41";"ProfitMargin_42";"ResilienceRatio_43";"CapitalizationFactor_44"
"107";"A048582";"2000JJ00";"  5505.8";"  3658.4";"";"   581.6";"   819.6";"   446.1";"  5447.2";"  3677.7";"   299.5";"   506.6";"   963.5";"       .";"       .";"       .";"    58.7";"    18.7";"    -6.9";"    70.4";"  6314.1";"  4171.7";"     8.1";"  3749.5";"  3057.7";"   470.4";"   221.5";"   414.0";"  2142.5";"   313.1";"   676.6";"   202.6";"   950.1";"  6314.2";"  3029.4";"   648.3";"   860.3";"  1776.2";"   443.9";"   281.7";"   162.2";"    48.0";"   120.6";"     1.3";"   -19.7";"    59.1"
"108";"A048582";"2001JJ00";"  5977.7";"  3946.9";"    14.8";"   613.6";"   880.5";"   521.9";"  5902.2";"  3908.2";"   333.4";"   482.6";"  1178.1";"       .";"       .";"       .";"    75.4";"     8.0";"   -15.6";"    67.9";"  6500.1";"  4378.8";"     7.5";"  3978.4";"  3179.0";"   479.6";"   319.7";"   392.8";"  2121.2";"   120.9";"   785.8";"   150.1";"  1064.3";"  6500.1";"  3034.4";"   719.2";"   900.9";"  1845.6";"   591.5";"   413.1";"   178.5";"    46.7";"   114.9";"     1.1";"   -23.9";"    55.6"
"109";"A048582";"2002JJ00";"  6386.9";"  4146.9";"    12.5";"   648.1";"   990.4";"   589.1";"  6274.8";"  4209.0";"   360.7";"   514.2";"  1190.9";"       .";"       .";"       .";"   112.1";"    -9.2";"    13.5";"   116.3";"  6822.4";"  4679.8";"     8.1";"  4247.1";"  3403.1";"   513.6";"   330.5";"   424.5";"  2142.6";"   105.1";"   820.6";"    74.2";"  1142.7";"  6822.4";"  3148.0";"   744.7";"   859.8";"  2070.0";"   736.1";"   527.8";"   208.2";"    46.1";"   103.5";"     1.8";"   -26.5";"    53.5"
"110";"A048582";"2003JJ00";"  6706.5";"  4328.7";"    32.0";"   707.2";"  1023.8";"   614.8";"  6614.9";"  4461.0";"   379.7";"   526.5";"  1247.7";"       .";"       .";"       .";"    91.7";"     1.0";"   -35.0";"    57.7";"  6844.5";"  4875.0";"    11.0";"  4440.2";"  3332.8";"   537.8";"   569.6";"   423.8";"  1969.5";"    42.2";"   752.0";"    82.5";"  1092.8";"  6844.7";"  3102.7";"   757.6";"   934.4";"  2050.0";"   742.2";"   544.2";"   198.0";"    45.3";"    96.1";"     0.9";"   -30.9";"    52.4"
"111";"A048582";"2004JJ00";"  6984.6";"  4492.8";"    22.8";"   750.9";"  1111.8";"   606.3";"  6872.8";"  4478.2";"   431.4";"   522.9";"  1440.3";"       .";"       .";"       .";"   111.8";"    -5.6";"   -21.1";"    85.0";"  6945.7";"  4999.1";"    11.6";"  4629.1";"  3680.1";"   542.9";"   406.0";"   358.3";"  1946.7";"    34.8";"   746.8";"    25.2";"  1139.9";"  6945.6";"  3198.2";"   756.6";"   934.9";"  2055.8";"   655.0";"   468.8";"   186.2";"    46.0";"    94.7";"     1.2";"   -31.8";"    46.8"
"112";"A048582";"2005JJ00";"  7289.6";"  4677.6";"    22.9";"   796.1";"  1170.0";"   623.1";"  7137.0";"  4642.0";"   444.0";"   546.6";"  1504.5";"       .";"       .";"       .";"   152.7";"   -17.6";"    -5.7";"   129.5";"  7143.2";"  5130.3";"     4.6";"  4782.1";"  3837.1";"   516.4";"   428.7";"   343.6";"  2012.9";"    34.2";"   786.0";"    19.7";"  1173.0";"  7143.3";"  3327.3";"   733.8";"   905.7";"  2176.6";"   654.4";"   484.6";"   169.8";"    46.6";"    92.5";"     1.8";"   -31.1";"    45.4"
"113";"A048582";"2006JJ00";"  7542.7";"  4796.3";"    10.6";"   840.4";"  1228.1";"   667.3";"  7328.4";"  4664.3";"   451.1";"   527.8";"  1685.1";"       .";"       .";"       .";"   214.4";"     4.9";"    -3.5";"   215.8";"  7320.8";"  5361.7";"    10.0";"  5013.0";"  3998.6";"   515.7";"   498.7";"   338.8";"  1959.1";"    53.1";"   857.5";"    23.3";"  1025.3";"  7320.8";"  3529.6";"   691.7";"   840.5";"  2259.1";"   794.7";"   561.2";"   233.6";"    48.2";"    86.7";"     2.9";"   -30.9";"    44.0"
"114";"A048582";"2007JJ00";"  7887.3";"  4993.5";"    11.4";"   872.7";"  1303.4";"   706.2";"  7694.1";"  4966.0";"   452.0";"   546.7";"  1729.4";"       .";"       .";"       .";"   193.1";"    13.8";"   -20.3";"   186.6";"  7566.5";"  5523.4";"    11.8";"  5274.0";"  4057.9";"   544.0";"   672.0";"   237.7";"  2043.1";"    61.5";"   875.3";"    32.4";"  1073.8";"  7566.5";"  3682.2";"   682.4";"   850.2";"  2351.8";"   864.6";"   641.9";"   222.6";"    48.7";"    86.9";"     2.4";"   -31.9";"    44.5"
"115";"A048582";"2008JJ00";"  8613.1";"  5331.4";"    46.4";"   911.7";"  1529.9";"   793.7";"  8434.1";"  5530.2";"   511.6";"   635.3";"  1757.1";"   276.2";"   318.6";"  1162.3";"   178.9";"     2.1";"   -21.2";"   159.9";"  8161.7";"  5874.6";"    18.9";"  5669.0";"  4522.1";"   589.5";"   557.4";"   186.7";"  2287.1";"    22.3";"  1189.9";"    23.2";"  1051.7";"  8161.7";"  3899.6";"   560.3";"   987.8";"  2714.0";"  1099.7";"   872.1";"   227.6";"    47.8";"    84.3";"     1.9";"   -33.2";"    42.3"
"116";"A048582";"2009JJ00";"  9038.6";"  5608.9";"    55.3";"  1012.7";"  1653.3";"   708.5";"  8943.2";"  5984.7";"   502.6";"   658.3";"  1797.4";"   353.6";"   297.9";"  1145.9";"    95.5";"   -19.7";"     1.3";"    77.1";"  8845.7";"  6267.9";"    21.0";"  6058.6";"  4781.1";"   634.1";"   643.4";"   188.4";"  2577.7";"    18.6";"  1286.6";"    37.4";"  1235.0";"  8845.7";"  3993.6";"   563.1";"  1307.5";"  2981.5";"  1018.4";"   781.0";"   237.5";"    45.1";"    86.5";"     0.9";"   -36.8";"    45.0"
