,Date,Pricing,Market,Product,Price,Change,Unit
74,2022-11-13,Retail,Ad Damazin,Chicken,2600.0,4%,Kilogram
75,2022-11-13,Retail,Ad Damazin,Beef (Bone-in),2800.0,3.7%,Kilogram
76,2022-11-13,Retail,Ad Damazin,Beef (Boneless),3800.0,2.7%,Kilogram
77,2022-11-13,Retail,Ad Damazin,Mutton,3800.0,1.33%,Kilogram
78,2022-11-13,Retail,Ad Damazin,Milk,370.0,0%,Ratoul
79,2022-11-13,Retail,Ad Damazin,White Cheese,3500.0,0%,Kilogram
80,2022-11-13,Wholesale,Ad Damazin,Donkey (male),106000.0,0.95%,Head
81,2022-11-13,Wholesale,Ad Damazin,Milking Goat,24600.0,2.5%,Head
82,2022-11-13,Wholesale,Ad Damazin,Goat (Noubian Male live 13-30kgs),28300.0,1.07%,Head
83,2022-11-13,Wholesale,Ad Damazin,"Calf (live, 250 Kg)",165900.0,0.55%,Head
84,2022-11-13,Wholesale,Ad Damazin,"Bull (350 kg, live)",340000.0,0%,Head
85,2022-11-13,Wholesale,Ad Damazin,Sheep (35 - 40 Kg Live + 2 years),67000.0,0%,Head
86,2022-11-13,Wholesale,Ad Damazin,Lamb - (live 15-30kgs),39400.0,1.03%,Head
87,2022-11-13,Retail,Om Durman,Non agric. labour wage,6000.0,0%,Day wage
88,2022-11-13,Retail,Om Durman,Agric. Labour Wage,7000.0,0%,Day wage
89,2022-11-13,Retail,Om Durman,Charcol,700.0,-53.33%,Rubu
90,2022-11-13,Retail,Om Durman,Diesel (Commercial),720.0,7.14%,Liter
91,2022-11-13,Retail,Om Durman,Fire wood,1000.0,0%,Bundle
92,2022-11-13,Retail,Om Durman,Edible Oil,1500.0,-11.76%,Ratoul
93,2022-11-13,Retail,Om Durman,Sugar,700.0,0%,Kilogram
94,2022-11-13,Retail,Om Durman,Dry Barakawi Dates,617.0,0%,Rubu
95,2022-11-13,Retail,Om Durman,"Ginger, raw",2250.0,0%,Kilogram
96,2022-11-13,Retail,Om Durman,Okra (Dry),1000.0,0%,Rubu
97,2022-11-13,Retail,Om Durman,Red Onion,400.0,0%,Rubu
98,2022-11-13,Retail,Om Durman,Shelled Groundnuts,1428.0,0%,Kilogram
99,2022-11-13,Retail,Om Durman,Groundnut (unshelled),1333.0,0%,Kilogram
100,2022-11-13,Retail,Om Durman,Sesame (mixed),1133.0,-2.91%,Kilogram
101,2022-11-13,Retail,Om Durman,Sesame,1250.0,-6.23%,Kilogram
102,2022-11-13,Retail,Om Durman,Pigeon Peas,667.0,0%,Kilogram
103,2022-11-13,Retail,Om Durman,Broad Bean - Ethiopian,650.0,5.35%,Kilogram
104,2022-11-13,Retail,Om Durman,Chicpeas,667.0,0%,Kilogram
105,2022-11-13,Retail,Om Durman,Broad Beans,1333.0,-3.62%,Kilogram
106,2022-11-13,Retail,Om Durman,Water Melon Seeds,617.0,-2.53%,Kilogram
107,2022-11-13,Retail,Om Durman,Hibiscus,2300.0,-30.3%,Kilogram
108,2022-11-13,Retail,Om Durman,Gum Arabic,2000.0,0%,Kilogram
109,2022-11-13,Retail,Om Durman,Sorghum - Wad ikaw,500.0,0%,Kilogram
110,2022-11-13,Retail,Om Durman,Wheat Grain,500.0,0%,Kilogram
111,2022-11-13,Retail,Om Durman,Sorghum (Feterita),417.0,0%,Kilogram
112,2022-11-13,Retail,Om Durman,Sorghum (Tabat),583.0,0%,Kilogram
113,2022-11-13,Retail,Om Durman,Wheat flour,600.0,0%,Kilogram
114,2022-11-13,Retail,Om Durman,Millet,917.0,0%,Kilogram
115,2022-11-13,Retail,Om Durman,Rice (imported),600.0,0%,Kilogram
116,2022-11-13,Wholesale,Om Durman,Charcol,18667.0,-13.85%,Big Sack ~100kg
117,2022-11-13,Wholesale,Om Durman,Sugar,28600.0,0%,Medium Sack ~50kg
118,2022-11-13,Wholesale,Om Durman,Dry Barakawi Dates,24667.0,-5.13%,Standard Sack ~90kg
119,2022-11-13,Wholesale,Om Durman,"Ginger, raw",82667.0,8.3%,Medium Sack ~50kg
120,2022-11-13,Wholesale,Om Durman,Okra (Dry),70667.0,-6.61%,Standard Sack ~90kg
121,2022-11-13,Wholesale,Om Durman,Red Onion,29667.0,-3.26%,Big Sack ~100kg
122,2022-11-13,Wholesale,Om Durman,Pigeon Peas,41000.0,0%,Standard Sack ~90kg
123,2022-11-13,Wholesale,Om Durman,Broad Bean - Ethiopian,40667.0,0%,Standard Sack ~90kg
124,2022-11-13,Wholesale,Om Durman,Chicpeas,35000.0,-8.69%,Standard Sack ~90kg
125,2022-11-13,Wholesale,Om Durman,Broad Beans,76667.0,-4.17%,Standard Sack ~90kg
126,2022-11-13,Wholesale,Om Durman,Shelled Groundnuts,54000.0,-19%,Medium Sack ~50kg
127,2022-11-13,Wholesale,Om Durman,Groundnut (unshelled),35667.0,0%,KANTAR (45 KG)
128,2022-11-13,Wholesale,Om Durman,Sesame (mixed),35333.0,-6.2%,KANTAR (45 KG)
129,2022-11-13,Wholesale,Om Durman,Sesame,38667.0,-6.45%,KANTAR (45 KG)
130,2022-11-13,Wholesale,Om Durman,Water Melon Seeds,60333.0,-9.5%,KANTAR (45 KG)
131,2022-11-13,Wholesale,Om Durman,Hibiscus,86667.0,-7.14%,KANTAR (45 KG)
132,2022-11-13,Wholesale,Om Durman,Gum Arabic,65333.0,-6.67%,KANTAR (45 KG)
133,2022-11-13,Wholesale,Om Durman,Sorghum - Wad ikaw,30000.0,-5.26%,Big Sack ~100kg
134,2022-11-13,Wholesale,Om Durman,Wheat Grain,29667.0,2.3%,Standard Sack ~90kg
135,2022-11-13,Wholesale,Om Durman,Sorghum (Feterita),28000.0,-6.67%,Standard Sack ~90kg
136,2022-11-13,Wholesale,Om Durman,Sorghum (Tabat),40333.0,-6.92%,Standard Sack ~90kg
137,2022-11-13,Wholesale,Om Durman,Wheat flour,10300.0,-1.9%,Small Sack ~25kg
138,2022-11-13,Wholesale,Om Durman,Millet,50667.0,-8.43%,Standard Sack ~90kg
139,2022-11-13,Wholesale,Om Durman,Rice (imported),10900.0,1.87%,Small Sack ~25kg
140,2022-11-12,Wholesale,El Damer,Milking Goat,50000.0,25%,Head
141,2022-11-12,Wholesale,El Damer,"Bull (350 kg, live)",370000.0,-2.63%,Head
142,2022-11-12,Wholesale,El Damer,Donkey (male),171000.0,14%,Head
143,2022-11-12,Wholesale,El Damer,Local milking Cow - Hi Yeilder,360000.0,20%,Head
144,2022-11-12,Wholesale,El Damer,"Calf (live, 250 Kg)",160000.0,-20%,Head
145,2022-11-12,Wholesale,El Damer,Camels,394000.0,-1.5%,Head
146,2022-11-12,Wholesale,El Damer,Sheep (35 - 40 Kg Live + 2 years),82000.0,0%,Head
147,2022-11-12,Retail,El Damer,Nile perch,2500.0,0%,Kilogram
148,2022-11-12,Retail,El Damer,Tilapia,2500.0,0%,Kilogram
149,2022-11-12,Retail,El Damer,Camel Meat,4500.0,0%,Kilogram
150,2022-11-12,Retail,El Damer,Eggs,3000.0,0%,Egg tray
151,2022-11-12,Retail,El Damer,Chicken,2200.0,0%,Kilogram
152,2022-11-12,Retail,El Damer,Dry Fish,4000.0,0%,Kilogram
153,2022-11-12,Retail,El Damer,Beef (Boneless),4000.0,0%,Kilogram
154,2022-11-12,Retail,El Damer,Beef (Bone-in),3200.0,0%,Kilogram
155,2022-11-12,Retail,El Damer,Mutton,5000.0,0%,Kilogram
156,2022-11-12,Retail,El Damer,Milk,300.0,0%,Ratoul
157,2022-11-12,Retail,El Damer,Bee Honey,6500.0,30%,Liter
158,2022-11-12,Retail,El Damer,White Cheese,4500.0,0%,Kilogram
159,2022-11-12,Wholesale,El Damer,Cotton Seed,22000.0,0%,Standard Sack ~90kg
160,2022-11-12,Wholesale,El Damer,Forage products,13000.0,0%,Kilogram
161,2022-11-12,Wholesale,El Damer,Alfa Alfa bale,3000.0,0%,Box (80 pieces)
162,2022-11-12,Wholesale,El Damer,Crushed Sorghum,25000.0,0%,Standard Sack ~90kg
163,2022-11-12,Retail,El Obeid,Milk,500.0,0%,Ratoul
164,2022-11-12,Retail,El Obeid,Chicken,2200.0,10%,Kilogram
165,2022-11-12,Retail,El Obeid,White Cheese,4000.0,0%,Kilogram
166,2022-11-12,Retail,El Obeid,Lamb Meat,3600.0,5.88%,Kilogram
167,2022-11-12,Retail,El Obeid,Camel Meat,3000.0,0%,Kilogram
168,2022-11-12,Retail,El Obeid,Goat (Meat),3600.0,5.88%,Kilogram
169,2022-11-12,Retail,El Obeid,Beef (Boneless),2400.0,0%,Kilogram
