,Date,Market,Product,In_Flow,Out_Flow,Stock,Unit
3,2022-11-14,"Om Durman, El Salam",Donkey (male),79,29,,Head
4,2022-11-14,"Om Durman, El Salam",Goat (Noubian Male live 13-30kgs),186,127,,Head
5,2022-11-14,"Om Durman, El Salam",Camels,48,34,,Head
6,2022-11-14,"Om Durman, El Salam",Sheep (hamari),3491,2804,,Head
7,2022-11-14,"Om Durman, El Salam",Lamb - (live 15-30kgs),3008,2176,,Head
8,2022-11-14,"Om Durman, El Salam",Sheep (35 - 40 Kg Live + 2 years),3517,28049,,Head
9,2022-11-12,El Damer,Donkey (male),150,0,,Head
10,2022-11-12,El Damer,Camels,371,0,,Head
11,2022-11-12,El Damer,Goat (Noubian Male live 13-30kgs),183,0,,Head
12,2022-11-12,El Damer,Sheep (35 - 40 Kg Live + 2 years),3477,0,,Head
13,2022-11-07,"Om Durman, El Salam",Donkey (male),76,23,,Head
14,2022-11-07,"Om Durman, El Salam",Goat (Noubian Male live 13-30kgs),192,113,,Head
15,2022-11-07,"Om Durman, El Salam",Camels,33,26,,Head
16,2022-11-07,"Om Durman, El Salam",Sheep (hamari),3715,2639,,Head
17,2022-11-07,"Om Durman, El Salam",Lamb - (live 15-30kgs),2908,1782,,Head
18,2022-11-07,"Om Durman, El Salam",Sheep (35 - 40 Kg Live + 2 years),3146,2578,,Head
19,2022-11-05,El Damer,Donkey (male),160,0,,Head
20,2022-11-05,El Damer,Camels,280,0,,Head
21,2022-11-05,El Damer,Goat (Noubian Male live 13-30kgs),291,0,,Head
22,2022-11-05,El Damer,Sheep (35 - 40 Kg Live + 2 years),3473,0,,Head
23,2022-10-31,"Om Durman, El Salam",Donkey (male),82,22,,Head
24,2022-10-31,"Om Durman, El Salam",Goat (Noubian Male live 13-30kgs),173,109,,Head
25,2022-10-31,"Om Durman, El Salam",Camels,27,18,,Head
26,2022-10-31,"Om Durman, El Salam",Sheep (hamari),3267,2117,,Head
27,2022-10-31,"Om Durman, El Salam",Lamb - (live 15-30kgs),2592,1746,,Head
28,2022-10-31,"Om Durman, El Salam",Sheep (35 - 40 Kg Live + 2 years),2481,1907,,Head
29,2022-10-29,El Damer,Donkey (male),80,0,,Head
30,2022-10-29,El Damer,Camels,200,0,,Head
31,2022-10-29,El Damer,Goat (Noubian Male live 13-30kgs),200,0,,Head
32,2022-10-29,El Damer,Sheep (35 - 40 Kg Live + 2 years),3701,0,,Head
33,2022-10-24,"Om Durman, El Salam",Donkey (male),92,17,,Head
34,2022-10-24,"Om Durman, El Salam",Goat (Noubian Male live 13-30kgs),204,147,,Head
35,2022-10-24,"Om Durman, El Salam",Camels,37,26,,Head
36,2022-10-24,"Om Durman, El Salam",Sheep (hamari),3176,2081,,Head
37,2022-10-24,"Om Durman, El Salam",Lamb - (live 15-30kgs),2657,1793,,Head
38,2022-10-24,"Om Durman, El Salam",Sheep (35 - 40 Kg Live + 2 years),2584,1729,,Head
39,2022-10-17,"Om Durman, El Salam",Donkey (male),103,16,,Head
40,2022-10-17,"Om Durman, El Salam",Goat (Noubian Male live 13-30kgs),194,128,,Head
41,2022-10-17,"Om Durman, El Salam",Camels,31,22,,Head
42,2022-10-17,"Om Durman, El Salam",Sheep (hamari),3857,2883,,Head
43,2022-10-17,"Om Durman, El Salam",Lamb - (live 15-30kgs),3219,2412,,Head
44,2022-10-17,"Om Durman, El Salam",Sheep (35 - 40 Kg Live + 2 years),3382,2476,,Head
45,2022-10-15,El Damer,Donkey (male),150,0,,Head
46,2022-10-15,El Damer,Camels,352,0,,Head
47,2022-10-15,El Damer,Goat (Noubian Male live 13-30kgs),439,0,,Head
48,2022-10-15,El Damer,Sheep (35 - 40 Kg Live + 2 years),3258,0,,Head
49,2022-10-10,"Om Durman, El Salam",Donkey (male),119,21,,Head
50,2022-10-10,"Om Durman, El Salam",Goat (Noubian Male live 13-30kgs),228,147,,Head
51,2022-10-10,"Om Durman, El Salam",Camels,38,17,,Head
52,2022-10-10,"Om Durman, El Salam",Sheep (hamari),4654,3367,,Head
53,2022-10-10,"Om Durman, El Salam",Lamb - (live 15-30kgs),3589,2871,,Head
54,2022-10-10,"Om Durman, El Salam",Sheep (35 - 40 Kg Live + 2 years),3783,2826,,Head
55,2022-10-08,El Damer,Donkey (male),170,0,,Head
56,2022-10-08,El Damer,Camels,400,0,,Head
57,2022-10-08,El Damer,Goat (Noubian Male live 13-30kgs),272,0,,Head
58,2022-10-08,El Damer,Sheep (35 - 40 Kg Live + 2 years),3759,0,,Head
59,2022-10-01,El Damer,Donkey (male),150,0,,Head
60,2022-10-01,El Damer,Camels,329,0,,Head
61,2022-10-01,El Damer,Goat (Noubian Male live 13-30kgs),330,0,,Head
62,2022-10-01,El Damer,Sheep (35 - 40 Kg Live + 2 years),3502,0,,Head
63,2022-09-26,"Om Durman, El Salam",Donkey (male),117,23,,Head
64,2022-09-26,"Om Durman, El Salam",Goat (Noubian Male live 13-30kgs),247,182,,Head
65,2022-09-26,"Om Durman, El Salam",Camels,49,27,,Head
66,2022-09-26,"Om Durman, El Salam",Sheep (hamari),4471,3746,,Head
67,2022-09-26,"Om Durman, El Salam",Lamb - (live 15-30kgs),3257,2566,,Head
68,2022-09-26,"Om Durman, El Salam",Sheep (35 - 40 Kg Live + 2 years),3421,2982,,Head
69,2022-09-24,El Damer,Donkey (male),130,0,,Head
70,2022-09-24,El Damer,Camels,371,0,,Head
71,2022-09-24,El Damer,Goat (Noubian Male live 13-30kgs),310,0,,Head
72,2022-09-24,El Damer,Sheep (35 - 40 Kg Live + 2 years),3281,0,,Head
73,2022-09-19,"Om Durman, El Salam",Donkey (male),129,47,,Head
74,2022-09-19,"Om Durman, El Salam",Goat (Noubian Male live 13-30kgs),293,236,,Head
75,2022-09-19,"Om Durman, El Salam",Camels,87,61,,Head
76,2022-09-19,"Om Durman, El Salam",Sheep (hamari),4874,4135,,Head
77,2022-09-19,"Om Durman, El Salam",Lamb - (live 15-30kgs),3608,3113,,Head
78,2022-09-19,"Om Durman, El Salam",Sheep (35 - 40 Kg Live + 2 years),3854,3417,,Head
79,2022-09-17,El Damer,Donkey (male),120,0,,Head
80,2022-09-17,El Damer,Camels,697,0,,Head
81,2022-09-17,El Damer,Goat (Noubian Male live 13-30kgs),316,0,,Head
82,2022-09-17,El Damer,Sheep (35 - 40 Kg Live + 2 years),3281,0,,Head
83,2022-09-12,"Om Durman, El Salam",Donkey (male),137,61,,Head
84,2022-09-12,"Om Durman, El Salam",Goat (Noubian Male live 13-30kgs),276,228,,Head
85,2022-09-12,"Om Durman, El Salam",Camels,92,76,,Head
86,2022-09-12,"Om Durman, El Salam",Sheep (hamari),4787,3962,,Head
87,2022-09-12,"Om Durman, El Salam",Lamb - (live 15-30kgs),3798,3053,,Head
88,2022-09-12,"Om Durman, El Salam",Sheep (35 - 40 Kg Live + 2 years),3751,3417,,Head
89,2022-09-10,El Damer,Donkey (male),95,0,,Head
90,2022-09-10,El Damer,Camels,384,0,,Head
91,2022-09-10,El Damer,Goat (Noubian Male live 13-30kgs),346,0,,Head
92,2022-09-10,El Damer,Sheep (35 - 40 Kg Live + 2 years),3744,0,,Head
93,2022-09-05,"Om Durman, El Salam",Donkey (male),128,72,,Head
94,2022-09-05,"Om Durman, El Salam",Goat (Noubian Male live 13-30kgs),294,201,,Head
95,2022-09-05,"Om Durman, El Salam",Camels,85,67,,Head
96,2022-09-05,"Om Durman, El Salam",Sheep (hamari),4522,3691,,Head
97,2022-09-05,"Om Durman, El Salam",Lamb - (live 15-30kgs),3872,2778,,Head
98,2022-09-05,"Om Durman, El Salam",Sheep (35 - 40 Kg Live + 2 years),3668,3125,,Head
99,2022-09-03,El Damer,Donkey (male),90,0,,Head
100,2022-09-03,El Damer,Camels,406,0,,Head
101,2022-09-03,El Damer,Goat (Noubian Male live 13-30kgs),270,0,,Head
102,2022-09-03,El Damer,Sheep (35 - 40 Kg Live + 2 years),2916,0,,Head
103,2022-08-29,"Om Durman, El Salam",Donkey (male),134,67,,Head
104,2022-08-29,"Om Durman, El Salam",Goat (Noubian Male live 13-30kgs),274,192,,Head
105,2022-08-29,"Om Durman, El Salam",Camels,78,49,,Head
106,2022-08-29,"Om Durman, El Salam",Sheep (hamari),3756,3011,,Head
107,2022-08-29,"Om Durman, El Salam",Lamb - (live 15-30kgs),3254,2741,,Head
108,2022-08-29,"Om Durman, El Salam",Sheep (35 - 40 Kg Live + 2 years),3426,2908,,Head
109,2022-08-27,El Damer,Donkey (male),150,0,,Head
110,2022-08-27,El Damer,Camels,439,0,,Head
111,2022-08-27,El Damer,Goat (Noubian Male live 13-30kgs),392,0,,Head
112,2022-08-27,El Damer,Sheep (35 - 40 Kg Live + 2 years),3191,0,,Head
113,2022-08-22,"Om Durman, El Salam",Donkey (male),127,56,,Head
114,2022-08-22,"Om Durman, El Salam",Goat (Noubian Male live 13-30kgs),238,168,,Head
115,2022-08-22,"Om Durman, El Salam",Camels,66,39,,Head
116,2022-08-22,"Om Durman, El Salam",Sheep (hamari),3254,2365,,Head
117,2022-08-22,"Om Durman, El Salam",Lamb - (live 15-30kgs),2811,2007,,Head
118,2022-08-22,"Om Durman, El Salam",Sheep (35 - 40 Kg Live + 2 years),3105,2258,,Head
119,2022-08-20,El Damer,Donkey (male),120,0,,Head
120,2022-08-20,El Damer,Camels,392,0,,Head
121,2022-08-20,El Damer,Goat (Noubian Male live 13-30kgs),325,0,,Head
122,2022-08-20,El Damer,Sheep (35 - 40 Kg Live + 2 years),3276,0,,Head
123,2022-08-15,"Om Durman, El Salam",Donkey (male),143,52,,Head
124,2022-08-15,"Om Durman, El Salam",Goat (Noubian Male live 13-30kgs),215,116,,Head
125,2022-08-15,"Om Durman, El Salam",Camels,72,37,,Head
126,2022-08-15,"Om Durman, El Salam",Sheep (hamari),2880,1968,,Head
127,2022-08-15,"Om Durman, El Salam",Lamb - (live 15-30kgs),2466,1935,,Head
128,2022-08-15,"Om Durman, El Salam",Sheep (35 - 40 Kg Live + 2 years),2526,1789,,Head
129,2022-08-13,El Damer,Donkey (male),150,0,,Head
130,2022-08-13,El Damer,Camels,333,0,,Head
131,2022-08-13,El Damer,Goat (Noubian Male live 13-30kgs),239,0,,Head
132,2022-08-13,El Damer,Sheep (35 - 40 Kg Live + 2 years),2710,0,,Head
133,2022-08-08,"Om Durman, El Salam",Donkey (male),139,31,,Head
134,2022-08-08,"Om Durman, El Salam",Goat (Noubian Male live 13-30kgs),174,65,,Head
135,2022-08-08,"Om Durman, El Salam",Camels,63,34,,Head
136,2022-08-08,"Om Durman, El Salam",Sheep (hamari),2692,1104,,Head
137,2022-08-08,"Om Durman, El Salam",Lamb - (live 15-30kgs),2148,1085,,Head
138,2022-08-08,"Om Durman, El Salam",Sheep (35 - 40 Kg Live + 2 years),2007,1418,,Head
139,2022-08-06,El Damer,Donkey (male),180,0,,Head
140,2022-08-06,El Damer,Camels,433,0,,Head
141,2022-08-06,El Damer,Goat (Noubian Male live 13-30kgs),293,0,,Head
142,2022-08-06,El Damer,Sheep (35 - 40 Kg Live + 2 years),2604,0,,Head
143,2022-08-01,"Om Durman, El Salam",Donkey (male),147,36,,Head
144,2022-08-01,"Om Durman, El Salam",Goat (Noubian Male live 13-30kgs),196,83,,Head
145,2022-08-01,"Om Durman, El Salam",Camels,81,28,,Head
146,2022-08-01,"Om Durman, El Salam",Sheep (hamari),2587,945,,Head
147,2022-08-01,"Om Durman, El Salam",Lamb - (live 15-30kgs),2325,1307,,Head
148,2022-08-01,"Om Durman, El Salam",Sheep (35 - 40 Kg Live + 2 years),2417,1856,,Head
149,2022-07-30,El Damer,Donkey (male),200,0,,Head
150,2022-07-30,El Damer,Camels,400,0,,Head
151,2022-07-30,El Damer,Goat (Noubian Male live 13-30kgs),460,0,,Head
152,2022-07-30,El Damer,Sheep (35 - 40 Kg Live + 2 years),2883,0,,Head
153,2022-07-25,"Om Durman, El Salam",Donkey (male),186,73,,Head
154,2022-07-25,"Om Durman, El Salam",Goat (Noubian Male live 13-30kgs),228,172,,Head
155,2022-07-25,"Om Durman, El Salam",Local milking Cow - Low Yeilder,0,0,,Head
156,2022-07-25,"Om Durman, El Salam",Camels,218,96,,Head
157,2022-07-25,"Om Durman, El Salam",Sheep (hamari),3019,2514,,Head
158,2022-07-25,"Om Durman, El Salam",Lamb - (live 15-30kgs),2936,1886,,Head
159,2022-07-25,"Om Durman, El Salam",Sheep (35 - 40 Kg Live + 2 years),3242,2785,,Head
160,2022-07-23,El Damer,Donkey (male),80,0,,Head
161,2022-07-23,El Damer,Camels,331,0,,Head
162,2022-07-23,El Damer,Goat (Noubian Male live 13-30kgs),294,0,,Head
163,2022-07-23,El Damer,Sheep (35 - 40 Kg Live + 2 years),13525,0,,Head
164,2022-07-18,"Om Durman, El Salam",Donkey (male),58,22,,Head
165,2022-07-18,"Om Durman, El Salam",Goat (Noubian Male live 13-30kgs),639,471,,Head
166,2022-07-18,"Om Durman, El Salam",Camels,89,67,,Head
167,2022-07-18,"Om Durman, El Salam",Sheep (hamari),12541,70096,,Head
168,2022-07-18,"Om Durman, El Salam",Lamb - (live 15-30kgs),8742,4088,,Head
169,2022-07-18,"Om Durman, El Salam",Sheep (35 - 40 Kg Live + 2 years),10856,6584,,Head
170,2022-07-16,El Damer,Donkey (male),50,0,,Head
171,2022-07-16,El Damer,Camels,250,0,,Head
172,2022-07-16,El Damer,Sheep (35 - 40 Kg Live + 2 years),2000,0,,Head
173,2022-07-04,"Om Durman, El Salam",Donkey (male),51,28,,Head
174,2022-07-04,"Om Durman, El Salam",Goat (Noubian Male live 13-30kgs),582,349,,Head
175,2022-07-04,"Om Durman, El Salam",Camels,41,536,,Head
176,2022-07-04,"Om Durman, El Salam",Sheep (hamari),8964,6487,,Head
177,2022-07-04,"Om Durman, El Salam",Lamb - (live 15-30kgs),5628,3082,,Head
178,2022-07-04,"Om Durman, El Salam",Sheep (35 - 40 Kg Live + 2 years),7863,5214,,Head
179,2022-07-02,El Damer,Donkey (male),190,0,,Head
180,2022-07-02,El Damer,Camels,388,0,,Head
181,2022-07-02,El Damer,Goat (Noubian Male live 13-30kgs),149,0,,Head
182,2022-07-02,El Damer,Sheep (35 - 40 Kg Live + 2 years),13602,0,,Head
183,2022-06-27,"Om Durman, El Salam",Donkey (male),74,35,,Head
184,2022-06-27,"Om Durman, El Salam",Goat (Noubian Male live 13-30kgs),415,303,,Head
185,2022-06-27,"Om Durman, El Salam",Local milking Cow - Low Yeilder,16,11,,Head
186,2022-06-27,"Om Durman, El Salam",Camels,78,56,,Head
187,2022-06-27,"Om Durman, El Salam",Sheep (hamari),3682,3147,,Head
188,2022-06-27,"Om Durman, El Salam",Lamb - (live 15-30kgs),2854,2257,,Head
189,2022-06-27,"Om Durman, El Salam",Sheep (35 - 40 Kg Live + 2 years),3009,2117,,Head
190,2022-06-25,El Damer,Donkey (male),190,0,,Head
191,2022-06-25,El Damer,Camels,450,0,,Head
192,2022-06-25,El Damer,Goat (Noubian Male live 13-30kgs),300,0,,Head
193,2022-06-25,El Damer,Sheep (35 - 40 Kg Live + 2 years),500,0,,Head
194,2022-06-20,"Om Durman, El Salam",Donkey (male),52,27,,Head
195,2022-06-20,"Om Durman, El Salam",Goat (Noubian Male live 13-30kgs),472,328,,Head
196,2022-06-20,"Om Durman, El Salam",Local milking Cow - Low Yeilder,19,7,,Head
197,2022-06-20,"Om Durman, El Salam",Camels,69,47,,Head
198,2022-06-20,"Om Durman, El Salam",Sheep (hamari),4178,3413,,Head
199,2022-06-20,"Om Durman, El Salam",Lamb - (live 15-30kgs),3255,2584,,Head
200,2022-06-20,"Om Durman, El Salam",Sheep (35 - 40 Kg Live + 2 years),3158,2369,,Head
201,2022-06-13,"Om Durman, El Salam",Donkey (male),46,11,,Head
202,2022-06-13,"Om Durman, El Salam",Goat (Noubian Male live 13-30kgs),435,358,,Head
203,2022-06-13,"Om Durman, El Salam",Local milking Cow - Low Yeilder,17,0,,Head
204,2022-06-13,"Om Durman, El Salam",Camels,71,56,,Head
205,2022-06-13,"Om Durman, El Salam",Sheep (hamari),3882,4087,,Head
206,2022-06-13,"Om Durman, El Salam",Lamb - (live 15-30kgs),3118,2854,,Head
207,2022-06-13,"Om Durman, El Salam",Sheep (35 - 40 Kg Live + 2 years),2908,2421,,Head
208,2022-06-06,"Om Durman, El Salam",Donkey (male),41,13,,Head
209,2022-06-06,"Om Durman, El Salam",Goat (Noubian Male live 13-30kgs),312,248,,Head
210,2022-06-06,"Om Durman, El Salam",Local milking Cow - Low Yeilder,11,6,,Head
211,2022-06-06,"Om Durman, El Salam",Camels,47,29,,Head
212,2022-06-06,"Om Durman, El Salam",Sheep (hamari),3417,3258,,Head
213,2022-06-06,"Om Durman, El Salam",Lamb - (live 15-30kgs),3584,2806,,Head
214,2022-06-06,"Om Durman, El Salam",Sheep (35 - 40 Kg Live + 2 years),3118,2856,,Head
215,2022-05-30,"Om Durman, El Salam",Donkey (male),38,14,,Head
216,2022-05-30,"Om Durman, El Salam",Goat (Noubian Male live 13-30kgs),354,227,,Head
217,2022-05-30,"Om Durman, El Salam",Local milking Cow - Low Yeilder,7,4,,Head
218,2022-05-30,"Om Durman, El Salam",Camels,38,24,,Head
219,2022-05-30,"Om Durman, El Salam",Sheep (hamari),3478,3009,,Head
220,2022-05-30,"Om Durman, El Salam",Lamb - (live 15-30kgs),3746,2639,,Head
221,2022-05-30,"Om Durman, El Salam",Sheep (35 - 40 Kg Live + 2 years),3417,2782,,Head
222,2022-05-23,"Om Durman, El Salam",Donkey (male),47,12,,Head
223,2022-05-23,"Om Durman, El Salam",Goat (Noubian Male live 13-30kgs),314,214,,Head
224,2022-05-23,"Om Durman, El Salam",Local milking Cow - Low Yeilder,0,0,,Head
225,2022-05-23,"Om Durman, El Salam",Camels,51,43,,Head
226,2022-05-23,"Om Durman, El Salam",Sheep (hamari),3638,3117,,Head
227,2022-05-23,"Om Durman, El Salam",Lamb - (live 15-30kgs),3591,2411,,Head
228,2022-05-23,"Om Durman, El Salam",Sheep (35 - 40 Kg Live + 2 years),3259,2706,,Head
229,2022-05-16,"Om Durman, El Salam",Donkey (male),53,7,,Head
230,2022-05-16,"Om Durman, El Salam",Goat (Noubian Male live 13-30kgs),274,258,,Head
231,2022-05-16,"Om Durman, El Salam",Local milking Cow - Low Yeilder,0,0,,Head
232,2022-05-16,"Om Durman, El Salam",Camels,87,34,,Head
233,2022-05-16,"Om Durman, El Salam",Sheep (hamari),3753,4146,,Head
234,2022-05-16,"Om Durman, El Salam",Lamb - (live 15-30kgs),2914,2786,,Head
235,2022-05-16,"Om Durman, El Salam",Sheep (35 - 40 Kg Live + 2 years),2782,3054,,Head
236,2022-05-09,"Om Durman, El Salam",Donkey (male),87,6,,Head
237,2022-05-09,"Om Durman, El Salam",Goat (Noubian Male live 13-30kgs),226,183,,Head
238,2022-05-09,"Om Durman, El Salam",Local milking Cow - Low Yeilder,0,0,,Head
239,2022-05-09,"Om Durman, El Salam",Camels,108,49,,Head
240,2022-05-09,"Om Durman, El Salam",Sheep (hamari),3248,3639,,Head
241,2022-05-09,"Om Durman, El Salam",Lamb - (live 15-30kgs),2740,2528,,Head
242,2022-05-09,"Om Durman, El Salam",Sheep (35 - 40 Kg Live + 2 years),2187,2285,,Head
243,2022-05-02,"Om Durman, El Salam",Donkey (male),117,12,,Head
244,2022-05-02,"Om Durman, El Salam",Goat (Noubian Male live 13-30kgs),325,287,,Head
245,2022-05-02,"Om Durman, El Salam",Local milking Cow - Low Yeilder,0,0,,Head
246,2022-05-02,"Om Durman, El Salam",Camels,147,76,,Head
247,2022-05-02,"Om Durman, El Salam",Sheep (hamari),3639,3912,,Head
248,2022-05-02,"Om Durman, El Salam",Lamb - (live 15-30kgs),3256,3006,,Head
249,2022-05-02,"Om Durman, El Salam",Sheep (35 - 40 Kg Live + 2 years),2884,2511,,Head
250,2022-04-25,"Om Durman, El Salam",Donkey (male),31,16,,Head
251,2022-04-25,"Om Durman, El Salam",Goat (Noubian Male live 13-30kgs),380,283,,Head
252,2022-04-25,"Om Durman, El Salam",Local milking Cow - Low Yeilder,9,5,,Head
253,2022-04-25,"Om Durman, El Salam",Camels,178,147,,Head
254,2022-04-25,"Om Durman, El Salam",Sheep (hamari),3744,3085,,Head
255,2022-04-25,"Om Durman, El Salam",Lamb - (live 15-30kgs),3692,2853,,Head
256,2022-04-25,"Om Durman, El Salam",Sheep (35 - 40 Kg Live + 2 years),2908,2412,,Head
257,2022-04-18,"Om Durman, El Salam",Donkey (male),47,11,,Head
258,2022-04-18,"Om Durman, El Salam",Goat (Noubian Male live 13-30kgs),369,274,,Head
259,2022-04-18,"Om Durman, El Salam",Local milking Cow - Low Yeilder,17,9,,Head
260,2022-04-18,"Om Durman, El Salam",Camels,138,117,,Head
261,2022-04-18,"Om Durman, El Salam",Sheep (hamari),2982,2672,,Head
262,2022-04-18,"Om Durman, El Salam",Lamb - (live 15-30kgs),3120,2411,,Head
263,2022-04-18,"Om Durman, El Salam",Sheep (35 - 40 Kg Live + 2 years),2695,2228,,Head
264,2022-04-11,"Om Durman, El Salam",Donkey (male),51,12,,Head
265,2022-04-11,"Om Durman, El Salam",Goat (Noubian Male live 13-30kgs),339,252,,Head
266,2022-04-11,"Om Durman, El Salam",Local milking Cow - Low Yeilder,7,4,,Head
267,2022-04-11,"Om Durman, El Salam",Camels,86,44,,Head
268,2022-04-11,"Om Durman, El Salam",Sheep (hamari),2471,2147,,Head
269,2022-04-11,"Om Durman, El Salam",Lamb - (live 15-30kgs),2894,2389,,Head
270,2022-04-11,"Om Durman, El Salam",Sheep (35 - 40 Kg Live + 2 years),2563,2008,,Head
271,2022-03-21,"Om Durman, El Salam",Donkey (male),129,42,,Head
272,2022-03-21,"Om Durman, El Salam",Goat (Noubian Male live 13-30kgs),388,296,,Head
273,2022-03-21,"Om Durman, El Salam",Local milking Cow - Low Yeilder,17,11,,Head
274,2022-03-21,"Om Durman, El Salam",Camels,82,49,,Head
275,2022-03-21,"Om Durman, El Salam",Sheep (hamari),3259,3006,,Head
276,2022-03-21,"Om Durman, El Salam",Lamb - (live 15-30kgs),3086,2967,,Head
277,2022-03-21,"Om Durman, El Salam",Sheep (35 - 40 Kg Live + 2 years),2983,2417,,Head
278,2022-03-21,"Om Durman, El Salam",Donkey (male),86,22,,Head
279,2022-03-21,"Om Durman, El Salam",Goat (Noubian Male live 13-30kgs),363,280,,Head
280,2022-03-21,"Om Durman, El Salam",Local milking Cow - Low Yeilder,13,6,,Head
281,2022-03-21,"Om Durman, El Salam",Camels,89,56,,Head
282,2022-03-21,"Om Durman, El Salam",Sheep (hamari),2963,2589,,Head
283,2022-03-21,"Om Durman, El Salam",Lamb - (live 15-30kgs),3128,2746,,Head
284,2022-03-21,"Om Durman, El Salam",Sheep (35 - 40 Kg Live + 2 years),2782,2217,,Head
285,2022-03-14,"Om Durman, El Salam",Donkey (male),116,61,,Head
286,2022-03-14,"Om Durman, El Salam",Goat (Noubian Male live 13-30kgs),358,286,,Head
287,2022-03-14,"Om Durman, El Salam",Local milking Cow - Low Yeilder,13,11,,Head
288,2022-03-14,"Om Durman, El Salam",Camels,122,36,,Head
289,2022-03-14,"Om Durman, El Salam",Sheep (hamari),2962,2446,,Head
290,2022-03-14,"Om Durman, El Salam",Lamb - (live 15-30kgs),3095,2456,,Head
291,2022-03-14,"Om Durman, El Salam",Sheep (35 - 40 Kg Live + 2 years),2652,2314,,Head
292,2022-03-07,"Om Durman, El Salam",Donkey (male),143,28,,Head
293,2022-03-07,"Om Durman, El Salam",Goat (Noubian Male live 13-30kgs),332,258,,Head
294,2022-03-07,"Om Durman, El Salam",Local milking Cow - Low Yeilder,21,14,,Head
295,2022-03-07,"Om Durman, El Salam",Camels,168,137,,Head
296,2022-03-07,"Om Durman, El Salam",Sheep (hamari),3074,2912,,Head
297,2022-03-07,"Om Durman, El Salam",Lamb - (live 15-30kgs),3006,2587,,Head
298,2022-03-07,"Om Durman, El Salam",Sheep (35 - 40 Kg Live + 2 years),2522,2089,,Head
299,2022-02-28,"Om Durman, El Salam",Donkey (male),187,114,,Head
300,2022-02-28,"Om Durman, El Salam",Goat (Noubian Male live 13-30kgs),368,279,,Head
301,2022-02-28,"Om Durman, El Salam",Local milking Cow - Low Yeilder,23,18,,Head
302,2022-02-28,"Om Durman, El Salam",Camels,175,147,,Head
303,2022-02-28,"Om Durman, El Salam",Sheep (hamari),3008,2822,,Head
304,2022-02-28,"Om Durman, El Salam",Lamb - (live 15-30kgs),3258,2632,,Head
305,2022-02-28,"Om Durman, El Salam",Sheep (35 - 40 Kg Live + 2 years),2672,2175,,Head
306,2022-02-21,"Om Durman, El Salam",Donkey (male),187,114,,Head
307,2022-02-21,"Om Durman, El Salam",Goat (Noubian Male live 13-30kgs),368,279,,Head
308,2022-02-21,"Om Durman, El Salam",Local milking Cow - Low Yeilder,13,7,,Head
309,2022-02-21,"Om Durman, El Salam",Camels,125,63,,Head
310,2022-02-21,"Om Durman, El Salam",Sheep (hamari),3118,2786,,Head
311,2022-02-21,"Om Durman, El Salam",Lamb - (live 15-30kgs),3022,2417,,Head
312,2022-02-21,"Om Durman, El Salam",Sheep (35 - 40 Kg Live + 2 years),2605,2087,,Head
313,2022-02-14,"Om Durman, El Salam",Donkey (male),208,185,,Head
314,2022-02-14,"Om Durman, El Salam",Goat (Noubian Male live 13-30kgs),382,272,,Head
315,2022-02-14,"Om Durman, El Salam",Local milking Cow - Low Yeilder,17,9,,Head
316,2022-02-14,"Om Durman, El Salam",Camels,269,207,,Head
317,2022-02-14,"Om Durman, El Salam",Sheep (hamari),3297,2879,,Head
318,2022-02-14,"Om Durman, El Salam",Lamb - (live 15-30kgs),3219,2854,,Head
319,2022-02-14,"Om Durman, El Salam",Sheep (35 - 40 Kg Live + 2 years),2857,2159,,Head
320,2022-02-06,"Om Durman, El Salam",Donkey (male),233,187,,Head
321,2022-02-06,"Om Durman, El Salam",Goat (Noubian Male live 13-30kgs),289,241,,Head
322,2022-02-06,"Om Durman, El Salam",Local milking Cow - Low Yeilder,8,5,,Head
323,2022-02-06,"Om Durman, El Salam",Camels,43,26,,Head
324,2022-02-06,"Om Durman, El Salam",Sheep (hamari),3147,2745,,Head
325,2022-02-06,"Om Durman, El Salam",Lamb - (live 15-30kgs),2854,2158,,Head
326,2022-02-06,"Om Durman, El Salam",Sheep (35 - 40 Kg Live + 2 years),3096,2628,,Head
327,2022-01-31,"Om Durman, El Salam",Donkey (male),211,169,,Head
328,2022-01-31,"Om Durman, El Salam",Goat (Noubian Male live 13-30kgs),342,258,,Head
329,2022-01-31,"Om Durman, El Salam",Local milking Cow - Low Yeilder,15,7,,Head
330,2022-01-31,"Om Durman, El Salam",Camels,82,47,,Head
331,2022-01-31,"Om Durman, El Salam",Sheep (hamari),3602,3213,,Head
332,2022-01-31,"Om Durman, El Salam",Lamb - (live 15-30kgs),3217,2864,,Head
333,2022-01-31,"Om Durman, El Salam",Sheep (35 - 40 Kg Live + 2 years),3096,2628,,Head
334,2022-01-24,"Om Durman, El Salam",Donkey (male),206,162,,Head
335,2022-01-24,"Om Durman, El Salam",Goat (Noubian Male live 13-30kgs),365,229,,Head
336,2022-01-24,"Om Durman, El Salam",Local milking Cow - Low Yeilder,6,4,,Head
337,2022-01-24,"Om Durman, El Salam",Camels,247,169,,Head
338,2022-01-24,"Om Durman, El Salam",Sheep (hamari),3693,3411,,Head
339,2022-01-24,"Om Durman, El Salam",Lamb - (live 15-30kgs),3417,3159,,Head
340,2022-01-24,"Om Durman, El Salam",Sheep (35 - 40 Kg Live + 2 years),3005,2778,,Head
341,2022-01-17,"Om Durman, El Salam",Donkey (male),229,192,,Head
